"","logFC","logCPM","LR","PValue","FDR","names","dir","symbol"
"ENSG00000239556.UPK3BL3P",-0.582576677386911,-0.529689907320147,2.43728242792253,0.11848132917878,0.896241368714023,"ENSG00000239556.UPK3BL3P","downr","UPK3BL3P"
"ENSG00000183696.UPP1",-0.0136448581314023,4.53999417024584,0.0294229691048198,0.86380606203792,0.996924660785995,"ENSG00000183696.UPP1","downr","UPP1"
"ENSG00000094841.UPRT",-0.0895739374255903,5.04260858225003,1.82098336413027,0.177196268808175,0.944783770920038,"ENSG00000094841.UPRT","downr","UPRT"
"ENSG00000101019.UQCC1",-0.0615622765978502,5.72825112582387,0.807283224771624,0.368924687078182,0.991943960031022,"ENSG00000101019.UQCC1","downr","UQCC1"
"ENSG00000137288.UQCC2",0.124783814578442,6.09818695128755,3.96698864672145,0.0464006832647487,0.755296418751294,"ENSG00000137288.UQCC2","upr","UQCC2"
"ENSG00000204922.UQCC3",0.12946298688301,4.39065581768021,2.66999589505756,0.102256287307399,0.875585542074737,"ENSG00000204922.UQCC3","upr","UQCC3"
"ENSG00000184076.UQCR10",0.0229167734408287,9.50445000079551,0.162272364883172,0.687072964822897,0.996924660785995,"ENSG00000184076.UQCR10","upr","UQCR10"
"ENSG00000127540.UQCR11",0.0564735022249277,9.25102528328835,0.96177210871906,0.326740799777507,0.986816411214075,"ENSG00000127540.UQCR11","upr","UQCR11"
"ENSG00000156467.UQCRB",0.0695996069932087,7.87954890981597,1.55018628609741,0.213107942110581,0.972098778303539,"ENSG00000156467.UQCRB","upr","UQCRB"
"ENSG00000010256.UQCRC1",0.152508612923837,8.87424888274307,7.05142878970768,0.00792020511308262,0.392182156516141,"ENSG00000010256.UQCRC1","upr","UQCRC1"
"ENSG00000140740.UQCRC2",0.0700846862241547,7.79666260772992,2.06289720450638,0.150922983140542,0.931046446446434,"ENSG00000140740.UQCRC2","upr","UQCRC2"
"ENSG00000169021.UQCRFS1",0.0540328478743836,8.98034424968696,1.14445255699589,0.284713441984041,0.986816411214075,"ENSG00000169021.UQCRFS1","upr","UQCRFS1"
"ENSG00000226085.UQCRFS1P1",-0.807713439486075,-0.0480235520013895,2.33662515670343,0.126363052103222,0.90736524030308,"ENSG00000226085.UQCRFS1P1","downr","UQCRFS1P1"
"ENSG00000173660.UQCRH",-0.00774587371045795,8.87600713861159,0.0195079714086699,0.888919988027091,0.996924660785995,"ENSG00000173660.UQCRH","downr","UQCRH"
"ENSG00000233954.UQCRHL",0.43740438563341,-1.17468342713902,0.639800450361079,0.423783066211546,0.992705605531973,"ENSG00000233954.UQCRHL","upr","UQCRHL"
"ENSG00000164405.UQCRQ",0.0688303861249275,9.59422225697066,1.16153352889207,0.28114772696364,0.986816411214075,"ENSG00000164405.UQCRQ","upr","UQCRQ"
"ENSG00000142207.URB1",-0.0361203319317254,1.52237333656004,0.0394782371282263,0.842504221209987,0.996924660785995,"ENSG00000142207.URB1","downr","URB1"
