"","TimePoint","Cond","ImageNumber","ObjectNumber","File","NumberBranchEnds","NumberNonTrunkBranches","NumberTrunks","TotalObjectSkeletonLength","CVS","Image","Differentiation","Day","Condition","Blinding","day","TotalLength_um","CVSi","Imagei","isEmpty","isEmpty2"
"94","A","1",2,8,"A_1_1_2",1,1,3,96.3259038925171,"1","2","p1","Day21","pLNA-1229","A_1",21,6.80589713300199,"A_1_1","A_1_1_2","p6","p8"
"95","A","1",2,9,"A_1_1_2",5,2,4,332.776700139046,"1","2","p1","Day21","pLNA-1229","A_1",21,23.5123045607064,"A_1_1","A_1_1_2","p6","p8"
"96","A","1",2,10,"A_1_1_2",7,5,6,279.137090027332,"1","2","p1","Day21","pLNA-1229","A_1",21,19.722403257709,"A_1_1","A_1_1_2","p6","p8"
"97","A","1",2,11,"A_1_1_2",4,2,2,134.396971702576,"1","2","p1","Day21","pLNA-1229","A_1",21,9.49580463231725,"A_1_1","A_1_1_2","p6","p8"
"98","A","1",2,12,"A_1_1_2",3,0,3,90.1837677359581,"1","2","p1","Day21","pLNA-1229","A_1",21,6.37192511541182,"A_1_1","A_1_1_2","p6","p8"
"99","A","1",2,13,"A_1_1_2",1,1,3,104.740117371082,"1","2","p1","Day21","pLNA-1229","A_1",21,7.40040254718563,"A_1_1","A_1_1_2","p6","p8"
"100","A","1",2,14,"A_1_1_2",2,0,2,29.7279224395752,"1","2","p1","Day21","pLNA-1229","A_1",21,2.10042339522056,"A_1_1","A_1_1_2","p6","p8"
"101","A","1",2,15,"A_1_1_2",3,0,5,170.823380112648,"1","2","p1","Day21","pLNA-1229","A_1",21,12.0695088857474,"A_1_1","A_1_1_2","p6","p8"
"102","A","1",2,16,"A_1_1_2",3,1,2,62.597981095314,"1","2","p1","Day21","pLNA-1229","A_1",21,4.42285411143083,"A_1_1","A_1_1_2","p6","p8"
"103","A","1",2,17,"A_1_1_2",2,0,3,111.254835367203,"1","2","p1","Day21","pLNA-1229","A_1",21,7.86069929749265,"A_1_1","A_1_1_2","p6","p8"
"104","A","1",2,18,"A_1_1_2",1,0,1,43.0710682868958,"1","2","p1","Day21","pLNA-1229","A_1",21,3.04318203435918,"A_1_1","A_1_1_2","p6","p8"
"105","A","1",2,19,"A_1_1_2",3,0,3,190.681244194508,"1","2","p1","Day21","pLNA-1229","A_1",21,13.4725642920384,"A_1_1","A_1_1_2","p6","p8"
"106","A","1",2,20,"A_1_1_2",6,2,4,166.681243658066,"1","2","p1","Day21","pLNA-1229","A_1",21,11.7768466476416,"A_1_1","A_1_1_2","p6","p8"
"107","A","1",2,21,"A_1_1_2",2,0,2,34.3137091994286,"1","2","p1","Day21","pLNA-1229","A_1",21,2.42443170140028,"A_1_1","A_1_1_2","p6","p8"
"108","A","1",2,22,"A_1_1_2",5,2,3,165.793941736221,"1","2","p1","Day21","pLNA-1229","A_1",21,11.7141544188438,"A_1_1","A_1_1_2","p6","p8"
"109","A","1",2,23,"A_1_1_2",9,5,5,505.29856222868,"1","2","p1","Day21","pLNA-1229","A_1",21,35.7018195211491,"A_1_1","A_1_1_2","p6","p8"
"110","A","1",2,24,"A_1_1_2",3,0,3,148.710681200027,"1","2","p1","Day21","pLNA-1229","A_1",21,10.5071383493622,"A_1_1","A_1_1_2","p6","p8"
"111","A","1",2,25,"A_1_1_2",3,2,3,151.882254064083,"1","2","p1","Day21","pLNA-1229","A_1",21,10.731225513773,"A_1_1","A_1_1_2","p6","p8"
"112","A","1",2,26,"A_1_1_2",1,1,1,88.7695547938347,"1","2","p1","Day21","pLNA-1229","A_1",21,6.27200404102469,"A_1_1","A_1_1_2","p6","p8"
"113","A","1",2,27,"A_1_1_2",4,2,2,184.279222369194,"1","2","p1","Day21","pLNA-1229","A_1",21,13.0202300784406,"A_1_1","A_1_1_2","p6","p8"
"114","A","1",2,28,"A_1_1_2",3,0,3,116.024388074875,"1","2","p1","Day21","pLNA-1229","A_1",21,8.19769156838864,"A_1_1","A_1_1_2","p6","p8"
"115","A","1",2,29,"A_1_1_2",4,0,4,113.225399255753,"1","2","p1","Day21","pLNA-1229","A_1",21,7.999929292515,"A_1_1","A_1_1_2","p6","p8"
"116","A","1",2,30,"A_1_1_2",2,0,3,57.1126990914345,"1","2","p1","Day21","pLNA-1229","A_1",21,4.03529205849056,"A_1_1","A_1_1_2","p6","p8"
"117","A","1",2,31,"A_1_1_2",5,2,3,197.095458447933,"1","2","p1","Day21","pLNA-1229","A_1",21,13.9257599604285,"A_1_1","A_1_1_2","p6","p8"
"118","A","1",2,32,"A_1_1_2",2,0,2,68.1543293595314,"1","2","p1","Day21","pLNA-1229","A_1",21,4.81543734390788,"A_1_1","A_1_1_2","p6","p8"
"119","A","1",2,33,"A_1_1_2",8,4,4,307.534058988094,"1","2","p1","Day21","pLNA-1229","A_1",21,21.7287882676192,"A_1_1","A_1_1_2","p6","p8"
"120","A","1",2,34,"A_1_1_2",2,0,2,54.6568546295166,"1","2","p1","Day21","pLNA-1229","A_1",21,3.86177461295363,"A_1_1","A_1_1_2","p6","p8"
"121","A","1",2,35,"A_1_1_2",3,0,7,105.254835367203,"1","2","p1","Day21","pLNA-1229","A_1",21,7.436769895869,"A_1_1","A_1_1_2","p6","p8"
"122","A","1",2,36,"A_1_1_2",2,0,2,97.7401170730591,"1","2","p1","Day21","pLNA-1229","A_1",21,6.90581822423457,"A_1_1","A_1_1_2","p6","p8"
"123","A","1",2,37,"A_1_1_2",4,1,4,413.345244467258,"1","2","p1","Day21","pLNA-1229","A_1",21,29.2048670251643,"A_1_1","A_1_1_2","p6","p8"
"124","A","1",2,38,"A_1_1_2",3,3,2,212.178717255592,"1","2","p1","Day21","pLNA-1229","A_1",21,14.9914661072395,"A_1_1","A_1_1_2","p6","p8"
"125","A","1",2,39,"A_1_1_2",1,0,1,5.41421365737915,"1","2","p1","Day21","pLNA-1229","A_1",21,0.382540726005889,"A_1_1","A_1_1_2","p6","p8"
"126","A","1",2,40,"A_1_1_2",1,2,2,166.208154201508,"1","2","p1","Day21","pLNA-1229","A_1",21,11.7434205592694,"A_1_1","A_1_1_2","p6","p8"
"127","A","1",2,41,"A_1_1_2",2,0,2,32.2132040262222,"1","2","p1","Day21","pLNA-1229","A_1",21,2.27602071786949,"A_1_1","A_1_1_2","p6","p8"
"128","A","1",2,42,"A_1_1_2",3,1,2,179.107650279999,"1","2","p1","Day21","pLNA-1229","A_1",21,12.6548331682363,"A_1_1","A_1_1_2","p6","p8"
"129","A","1",2,43,"A_1_1_2",6,3,4,446.759458601475,"1","2","p1","Day21","pLNA-1229","A_1",21,31.5657449924381,"A_1_1","A_1_1_2","p6","p8"
"130","A","1",2,44,"A_1_1_2",7,4,7,378.404118359089,"1","2","p1","Day21","pLNA-1229","A_1",21,26.7361052446489,"A_1_1","A_1_1_2","p6","p8"
"131","A","1",2,45,"A_1_1_2",3,0,3,76.7989912033081,"1","2","p1","Day21","pLNA-1229","A_1",21,5.42622506435306,"A_1_1","A_1_1_2","p6","p8"
"132","A","1",2,46,"A_1_1_2",4,0,4,205.82337808609,"1","2","p1","Day21","pLNA-1229","A_1",21,14.5424302520324,"A_1_1","A_1_1_2","p6","p8"
"133","A","1",2,47,"A_1_1_2",1,0,1,25.627416908741,"1","2","p1","Day21","pLNA-1229","A_1",21,1.8107025858804,"A_1_1","A_1_1_2","p6","p8"
"134","A","1",2,48,"A_1_1_2",2,2,1,101.254835724831,"1","2","p1","Day21","pLNA-1229","A_1",21,7.15415032005473,"A_1_1","A_1_1_2","p6","p8"
"135","A","1",2,49,"A_1_1_2",4,1,3,133.225398898125,"1","2","p1","Day21","pLNA-1229","A_1",21,9.413027272659,"A_1_1","A_1_1_2","p6","p8"
"136","A","1",2,50,"A_1_1_2",4,0,4,98.2132046818733,"1","2","p1","Day21","pLNA-1229","A_1",21,6.9392441820546,"A_1_1","A_1_1_2","p6","p8"
"137","A","1",2,51,"A_1_1_2",3,1,2,79.2548352479935,"1","2","p1","Day21","pLNA-1229","A_1",21,5.59974248041047,"A_1_1","A_1_1_2","p6","p8"
"138","A","1",2,52,"A_1_1_2",3,1,3,221.007145822048,"1","2","p1","Day21","pLNA-1229","A_1",21,15.6152378471486,"A_1_1","A_1_1_2","p6","p8"
"139","A","1",2,53,"A_1_1_2",3,0,3,119.053825497627,"1","2","p1","Day21","pLNA-1229","A_1",21,8.41173616736925,"A_1_1","A_1_1_2","p6","p8"
"140","A","1",2,54,"A_1_1_2",3,0,8,156.468039572239,"1","2","p1","Day21","pLNA-1229","A_1",21,11.0552337315141,"A_1_1","A_1_1_2","p6","p8"
"141","A","1",2,55,"A_1_1_2",1,0,1,15.2426408529282,"1","2","p1","Day21","pLNA-1229","A_1",21,1.07696726932434,"A_1_1","A_1_1_2","p6","p8"
"142","A","1",2,56,"A_1_1_2",2,0,3,163.96551322937,"1","2","p1","Day21","pLNA-1229","A_1",21,11.5849669850402,"A_1_1","A_1_1_2","p6","p8"
"143","A","1",2,57,"A_1_1_2",3,2,1,278.261980116367,"1","2","p1","Day21","pLNA-1229","A_1",21,19.6605724542239,"A_1_1","A_1_1_2","p6","p8"
"144","A","1",2,58,"A_1_1_2",2,0,2,226.592933654785,"1","2","p1","Day21","pLNA-1229","A_1",21,16.0099011294034,"A_1_1","A_1_1_2","p6","p8"
"145","A","1",2,59,"A_1_1_2",3,1,3,178.480234205723,"1","2","p1","Day21","pLNA-1229","A_1",21,12.6105031480802,"A_1_1","A_1_1_2","p6","p8"
"146","A","1",2,60,"A_1_1_2",5,0,5,118.083262979984,"1","2","p1","Day21","pLNA-1229","A_1",21,8.3431611694788,"A_1_1","A_1_1_2","p6","p8"
"147","A","1",2,61,"A_1_1_2",3,0,3,68.5563498735428,"1","2","p1","Day21","pLNA-1229","A_1",21,4.84384206323209,"A_1_1","A_1_1_2","p6","p8"
"148","A","1",2,62,"A_1_1_2",2,0,2,107.053825497627,"1","2","p1","Day21","pLNA-1229","A_1",21,7.56387736412195,"A_1_1","A_1_1_2","p6","p8"
"149","A","1",2,63,"A_1_1_2",2,0,2,80.0538245439529,"1","2","p1","Day21","pLNA-1229","A_1",21,5.65619498943377,"A_1_1","A_1_1_2","p6","p8"
