"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","AveExpr","PValue","FDR","GeneName"
"P20674.COX5A",0.45515377395825,-0.224820443512918,0.152218474098788,0.479365074127958,0.84314232148076,1.0005358792069,16.8601563693977,0.000590212115031148,0.000840860805184028,"COX5A"
"P20700.LMNB1",-0.780690950570096,-1.16882022105406,-1.56952639334827,-2.05594354036391,-2.38411028495074,-2.61533851627249,17.9176131260754,6.94700127555172e-11,3.71003085433009e-10,"LMNB1"
"P20783.NTF3",0.695917395667102,1.1029687810432,0.966568591564399,1.70459004223398,0.235513772375169,0.209430592466683,15.6154344106466,0.00428140212741623,0.00544676413617485,"NTF3"
"P20930.FLG",-1.26931294037426,0.108152577692964,-0.961256984611735,-0.0132900806619514,-1.24237416326135,-1.44829401981514,11.9668553155366,0.105132441368576,0.114596660808622,"FLG"
"P20933.AGA",0.869475094924514,0.826994721329446,0.600629571167267,0.217170216831362,0.243822319025104,0.0682328917269643,13.9963158830706,6.36797073533486e-07,1.39410998389656e-06,"AGA"
"P21266.GSTM3",2.16403052714327,2.57439890654337,3.38356563342128,3.72166428194895,4.09268936578398,4.10257066329767,15.9874821634527,1.83067538536175e-09,6.57200441653703e-09,"GSTM3"
"P21281.ATP6V1B2",1.97209211306864,2.67154800011152,2.95125399186548,3.15875957299135,3.2712936223635,3.43358915552146,18.966186083744,8.5142175943346e-18,1.37887753940249e-15,"ATP6V1B2"
"P21283.ATP6V1C1",0.836059209050488,1.11764188431727,1.55622499670749,2.02063744435755,2.25770198356187,2.41185230390064,16.9744928888613,6.24841866276963e-11,3.4043108576469e-10,"ATP6V1C1"
"P21291.CSRP1",1.75741176026262,2.27947364735619,2.25464373493889,2.30303326621373,2.50010909138819,2.77140140493288,15.2973343354279,2.51182520152377e-09,8.73899137553653e-09,"CSRP1"
"P21333.FLNA",-2.85430735099322,-3.62943960060924,-4.36668440535091,-5.08028020260401,-5.14239469991034,-5.51701267284822,15.5993372769843,3.50732403969021e-16,2.14343821972766e-14,"FLNA"
"P21397.MAOA",1.89944106884925,2.87789217105137,3.0752739515099,2.96534615598829,2.99631504800238,3.09243957586782,14.3833010418354,0.000290583519934066,0.000430853751918718,"MAOA"
"P21399.ACO1",-0.803374925591431,-0.459537796938618,-0.252412645048691,-0.0126959068909343,0.080025680388838,0.19726070373236,14.9075702453141,8.95633661075744e-09,2.7111751665648e-08,"ACO1"
"P21554.CNR1",2.02458890321151,2.4090902877087,2.26674576362225,2.09609041841357,2.08941772859012,2.04707874333713,13.7724001446016,1.92735226419077e-08,5.47604735413501e-08,"CNR1"
