"Table.ID","Cell.Trace","Peak.Time[Frame]","Peak.Intensity[df/F]","Table","Peak.Start[Frame]","Peak.Stop[Frame]","Start.Intensity[df/F]","Stop.Intensity[df/F]","Peak.Duration[s]","Duration.To.Peak[s]","Time.To.Decay[s]","Baseline.Intensity[df/F]","Amplitude","Peak.Time[s]","Peak.Start[s]","Peak.Stop[s]"
"3","Mean3",13,0.107021915532554,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #3_3_1.csv",12,15,0.0934880722114765,0.0838924030413393,1.191,0.397,0.794,0.0886902376264079,0.247484815679983,5.161,4.764,5.955
"3","Mean3",20,0.080459569821272,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #3_3_1.csv",18,22,0.0634348081156591,0.0581083985339304,1.588,0.794,0.794,0.0607716033247948,0.265795241681655,7.94,7.146,8.734
"3","Mean3",34,0.0901365582216646,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #3_3_1.csv",33,35,0.066815364687705,0.0647126817339583,0.794,0.397,0.397,0.0657640232108317,0.329038747336251,13.498,13.101,13.895
"4","Mean1",116,0.160863061331643,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #4_4_1.csv",112,122,0.00249645839731329,0.0235875692222343,3.97,1.588,2.382,0.0130420138097738,17.5370240141923,46.052,44.464,48.434
"4","Mean1",14,0.126952834768136,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #4_4_1.csv",12,18,0.0509842188165599,0.0510089852689141,2.382,0.794,1.588,0.050996602042737,9.01120848257989,5.558,4.764,7.146
"4","Mean1",146,0.200117888313207,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #4_4_1.csv",144,153,0.00984714145606926,0.0240482252360244,3.573,0.794,2.779,0.0169476833460468,21.7307368405597,57.962,57.168,60.741
"4","Mean1",191,0.366929851500352,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #4_4_1.csv",185,200,0.00668198884518981,0.015370060331078,5.955,2.382,3.573,0.0110260245881339,42.2233103061939,75.827,73.445,79.4
"4","Mean1",261,0.308139246901717,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #4_4_1.csv",257,271,0.00733086989687244,0.00379917379114944,5.558,1.588,3.97,0.00556502184401094,35.8964541238798,103.617,102.029,107.587
"4","Mean1",310,0.419305944939223,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #4_4_1.csv",306,323,0.00956975718970106,0.00186739050751419,6.749,1.588,5.161,0.00571857384860762,49.066704507758,123.07,121.482,128.231
"4","Mean1",339,0.307272421069316,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #4_4_1.csv",332,351,0.000227851361659512,0.00197140960740218,7.543,2.779,4.764,0.00109963048453085,36.323376616468,134.583,131.804,139.347
